Descriptor,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5
mixed.berry,Country_Congo,pineapple,sweet,bourbon,Roast_Medium
mixed.nuts,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
molasses,red.catuai,chocolate.fudge,cinnamon,Country_Brazil/Colombia,Country_Ethiopia/Sumatra/Peru
mundo.novo,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
nectarine,watermelon,nectarine,honeysuckle,Country_Ethiopia,Roast_Light-Medium
nougat,black.currant,tangerine,sl28,sl34,Country_El Salvador
nut,ripe.fruit,Country_Peru,catuai,milk.chocolate,typica
orange,sudan.rume,pacas,lychee,custard,dates
orange.blossom,fresh.butter,honey,Country_Guatemala,bourbon,Roast_Light-Medium
orange.peel,dark.cherry,Country_Central & South America,blend,lime,Country_Panama
pacamara,Country_El Salvador,key.lime.pie,almond,apple,fig
pacas,lychee,Country_Honduras,orange,blackberry,Roast_Light
papaya,papaya,plum,black.tea,Country_Colombia,caturra
peach,java,hyacinth,pear,earl.grey,Country_Guatemala
peach.ice.cream,almond.cake,red.bourbon,plum,Country_El Salvador,Roast_Light-Medium
pear,Process_Honey,orange,peach,colombia,Country_Colombia
pecan,brown.sugar,Country_El Salvador,catuai,milk.chocolate,bourbon
pecans,pecans,orange,cocoa,typica,Country_Colombia
pineapple,hyacinth,mixed.berry,Country_Congo,sweet,gesha
pink.bourbon,pomelo,dark.honey,floral,Country_Colombia,Roast_Light
plum,apricot,raw.honey,papaya,peach.ice.cream,almond.cake
pomegranate,lemongrass,cranberry,blackberry,typica,Country_Colombia
pomelo,pomelo,dark.honey,floral,Country_Colombia,Roast_Light
raisin,java,dried.papaya,clove,Country_Peru,peach
raspberry,cola,baker.s.chocolate,Country_Brazil/Ethiopia,Country_Ethiopia/Sumatra/Peru,Process_Natural
raw.honey,papaya,plum,black.tea,Country_Colombia,caturra
raw.sugar,raw.sugar,almond,Country_Peru,typica,caturra
red.apple,cacao,sugar.cane,typica,Country_Colombia,Roast_NA
red.berries,tomato,round,baitan,ruiru.11,sl28
red.bourbon,custard,black.tea,semi.sweet.chocolate,peach.ice.cream,almond.cake
red.catuai,chocolate.fudge,cinnamon,molasses,Process_Natural,Roast_NA
red.cherry,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
red.currant,graham.cracker,Country_Burundi,honey,Roast_Light-Medium,sl28
red.grape,candied.sweetness,Country_Costa Rica,vanilla,catuai,Roast_NA
red.wine,Country_Mexico,dark.chocolate,blackberry,typica,bourbon
rich,full.bodied,Country_Central & South America,Process_Various,chocolate,bourbon
ripe.fruit,berry.fruit,nut,spice,milk.chocolate,Country_Peru
ripe.plum,cherry.cola,colombia,Country_Colombia,Roast_Light,Process_Washed
roasted.almonds,roasted.almonds,tangerine,Country_NA,Process_Various,Roast_Medium
round,tomato,round,baitan,ruiru.11,sl28
ruiru.11,baitan,sl28,sl34,Country_Kenya,apricot
semi.sweet.chocolate,red.bourbon,black.tea,Country_Burundi,lemon,Roast_Light-Medium
shortbread.cookie,creamy,Country_Mexico,dried.fruit,typica,bourbon
sidra,tropical.fruits,berry,kiwi,Country_Ecuador,Roast_Light
silky,figs,silky,Country_Rwanda,Process_Natural,bourbon
sl28,sl34,Country_Kenya,ruiru.11,baitan,black.currant
sl34,sl34,Country_Kenya,ruiru.11,baitan,black.currant
smooth,dried.cherry,Roast_Medium-Dark,castillo,colombia,caramel
sparkling.cider,raw.sugar,almond,Country_Peru,typica,caturra
spice,Process_Pulped Natural/Honey,citrus,ripe.fruit,Country_Burundi,fruity
strawberry,honeydew,yuzu,Process_Lactic Acid,Process_Natural,heavy
sudan.rume,honeysuckle,orange,cherry,Country_Colombia,Process_Natural
sugar,sugar,Country_Mexico,cherry,typica,Roast_NA
sugar.cane,cacao,sugar.cane,typica,Country_Colombia,Roast_NA
sweet,mixed.berry,Country_Congo,pineapple,dark.chocolate,Roast_Medium
sweet.cocoa,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
syrup,Country_Colombia/Ethiopia/Kenya,blend,fruity,milk.chocolate,Roast_Light-Medium
tangerine,bittersweet.chocolate,roasted.almonds,nougat,Roast_Medium,Country_El Salvador
toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra,graham.cracker,blend,Roast_Medium-Dark,cocoa
toffee,Country_Colombia/Honduras/Guatemala,various,dried.fruit,milk.chocolate,Roast_Medium
tomato,tomato,round,baitan,ruiru.11,sl28
tropical.fruit,tropical.fruit,brown.sugar,citrus,Country_Ethiopia,Roast_Light
tropical.fruits,tropical.fruits,berry,kiwi,Country_Ecuador,Roast_Light
typica,Country_Mexico,Country_Peru,Process_Washed,bourbon,caturra
vanilla,gesha.1931,marsellesa,maracaturra,citrus,red.grape
various,golden.raisin,toffee,Country_Colombia/Honduras/Guatemala,Country_Ethiopia/Sumatra/Peru,"Country_Ethiopia/Uganda
"
villalobos,cranberry,dark.chocolate,lemon,Country_Colombia,caturra
walnut,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
watermelon,watermelon,nectarine,honeysuckle,Country_Ethiopia,Roast_Light-Medium
white.cherry,white.cherry,bergamot,jasmine,Country_Costa Rica,Process_Honey
wild.berries,cocoa.butter,blueberry,cherry,caramel,Country_Colombia
yellow.bourbon,honeycomb,clove,fig,Process_Natural,Roast_Medium-Dark
yuzu,jasmine,strawberry,heirloom,Country_Ethiopia,Process_Natural
